City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
10,Shieli,KZ,76.05,few clouds,44.1667,66.75,Gostinitsa Aybek Shieli
14,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
17,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
19,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Atuona,PF,77.5,scattered clouds,-9.8,-139.0333,Villa Enata
35,Shingu,JP,82.9,clear sky,33.7333,135.9833,Shingu UI Hotel
37,Taitung,TW,77.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
48,Banting,MY,77.14,overcast clouds,2.8167,101.5,Hotel Intan Jugra
50,Kavieng,PG,83.23,light rain,-2.5744,150.7967,Nusa Island Retreat
54,Hithadhoo,MV,79.59,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Jamestown,US,78.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Aquin,HT,81.16,broken clouds,18.2833,-73.4,Asheev Beach
65,Kutum,SD,75.67,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
66,Georgetown,MY,77.9,heavy intensity rain,5.4112,100.3354,Cititel Penang
70,Yatou,CN,80.35,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
71,Eureka,US,75.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
72,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,San Policarpo,PH,81.32,overcast clouds,12.1791,125.5072,JM Lodge
80,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
84,Hatillo,PR,84.07,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
89,Cockburn Town,TC,81.84,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
90,Zhicheng,CN,77.54,light rain,30.2956,111.5047,Wangjiang Building
95,Shache,CN,81.84,clear sky,38.4167,77.2406,Delong Hotel
99,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
101,Fort Saint James,CA,75.2,overcast clouds,54.4333,-124.25,The View Hotel
106,Owando,CG,79.61,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
112,La Joya,MX,87.31,broken clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
117,Naze,JP,79.72,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
118,Roma,US,75.87,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
121,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
124,Sao Filipe,CV,75.04,few clouds,14.8961,-24.4956,Hotel Xaguate
131,Amahai,ID,79.48,broken clouds,-3.3333,128.9167,HOTEL ISABELA
134,Berwick,US,83.03,clear sky,41.0545,-76.2333,The White Birch Inn B & B
138,Dalbandin,PK,89.15,overcast clouds,28.8947,64.4101,Sanjrani House
143,Bubaque,GW,79.18,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
146,Port Blair,IN,81.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
148,Idil,TR,85.06,clear sky,37.3411,41.8895,İdil Öğretmen Evi Ve Aso Müdürlüğü
153,Maracaibo,VE,82.81,few clouds,10.6317,-71.6406,Motel Aladdin
154,Chaohu,CN,76.03,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
160,Westport,US,81.3,clear sky,41.1415,-73.3579,The Westport Inn
164,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
167,Kushima,JP,77.04,clear sky,31.4583,131.2333,Hanaoka
169,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
172,Solnechnyy,RU,76.57,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
174,Gat,IL,79.92,clear sky,31.61,34.7642,OlusHome
180,Manaure,CO,86.04,clear sky,11.7751,-72.4445,Hotel Palaaima
184,Jiwani,PK,82.85,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
187,Limbang,MY,80.91,overcast clouds,4.75,115.0,Purnama Hotel
197,Madang,PG,80.19,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
200,Arlit,NE,89.28,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
201,Taua,BR,84.18,broken clouds,-5.9667,-40.3,FAZENDA IPARANA - Maria Luiza Uchôa Castelo
210,Torbat-E Jam,IR,75.45,broken clouds,35.244,60.6225,White building
212,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
214,Guerrero Negro,MX,77.92,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
222,Gibsons,CA,86.32,scattered clouds,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
223,Gorontalo,ID,78.17,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
229,Yining,CN,76.6,clear sky,29.0361,114.5636,Xiushui Hotel
238,Santa Marta,CO,88.34,clear sky,11.2408,-74.199,Casa de Isabella
243,Faanui,PF,77.67,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
246,Broome,US,76.01,clear sky,42.2506,-75.833,Chenango Valley State Park
248,Ternate,ID,81.9,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
249,Kavaratti,IN,82.11,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
255,Bayir,TR,75.72,clear sky,37.2687,28.2167,Hotel Babadag
256,Daru,PG,78.33,broken clouds,-9.0763,143.2092,Daru Lodge
257,Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
261,Makakilo City,US,84.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
263,Dawei,MM,77.86,moderate rain,14.0833,98.2,Hotel Dawei
265,Samarai,PG,79.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
267,Robertsport,LR,77.41,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
272,Bontang,ID,77.32,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
275,Laiya,PH,80.24,overcast clouds,13.675,121.3903,Blue Coral Beach Resort
281,Vaitape,PF,77.63,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
284,Keti Bandar,PK,82.47,overcast clouds,24.1447,67.4497,Haji laloo memon house
288,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
291,Bacungan,PH,81.52,overcast clouds,9.9106,118.7022,Sumayang Property
297,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
298,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
301,Bethel,US,80.04,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
303,Ixtapa,MX,88.83,few clouds,20.7,-105.2,Hotel Plaza Providencia
307,Paragominas,BR,77.52,broken clouds,-2.9667,-47.4833,INOVA
308,Acarau,BR,78.66,clear sky,-2.8856,-40.12,castelo pizzaria
313,Kandrian,PG,80.26,light rain,-6.2167,149.55,Kandrian Station
314,Mogadishu,SO,75.97,light rain,2.0371,45.3438,Hotel Juba
315,Hambantota,LK,80.38,overcast clouds,6.1241,81.1185,Bungalow 63
318,Xinmin,CN,79.05,overcast clouds,41.9908,122.8253,Agricultural Machinery Hotel
319,Kudahuvadhoo,MV,81.82,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
320,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
322,Mazagao,BR,78.85,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
323,Hami,CN,86.61,few clouds,42.8,93.45,Laoyutang Resort
333,Marsh Harbour,BS,84.18,few clouds,26.5412,-77.0636,Abaco Beach Resort
335,Nuevo Progreso,MX,85.46,light rain,23.1667,-97.95,Balneario Rio el Paraiso
341,Manjeshwar,IN,79.75,overcast clouds,12.7194,74.8861,SOOFINAGAR
342,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
343,Tongren,CN,76.42,few clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
344,Tabou,CI,75.83,overcast clouds,4.423,-7.3528,hotêl doufoulougou
346,Cedar City,US,87.19,broken clouds,37.6775,-113.0619,Hampton Inn Cedar City
347,Fort Nelson,CA,76.59,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
350,Champerico,GT,85.95,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
352,Sohag,EG,86.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
357,Katobu,ID,75.51,broken clouds,-4.9408,122.5276,La Ode Husein
358,Porto Novo,BJ,75.42,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
359,Eydhafushi,MV,82.26,overcast clouds,5.1033,73.0708,Soneva Fushi
360,Lorengau,PG,83.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
361,Kieta,PG,83.1,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
362,Rincon,US,87.76,thunderstorm,32.296,-81.2354,Days Inn Rincon
366,Chateaubelair,VC,81.21,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
370,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
373,Dwarka,IN,81.95,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
377,Nushki,PK,85.87,overcast clouds,29.5542,66.0215,Shams hotel
380,Porbandar,IN,81.64,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
388,Garh Maharaja,PK,88.77,moderate rain,30.8339,71.9053,Zaki Pansar Shop
390,Ibra,OM,89.58,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
392,Ambunti,PG,78.08,broken clouds,-4.2365,142.8448,Ambunti Lodge
393,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
394,Buchanan,LR,76.05,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
399,Lazaro Cardenas,MX,85.1,broken clouds,17.9583,-102.2,quinta antigua
401,Iracoubo,GF,79.09,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
404,Melfort,CA,81.36,clear sky,52.8667,-104.6177,Carra Valla Inn
409,Celestun,MX,83.84,few clouds,20.8667,-90.4,Posada Lilia
420,Cabras,IT,78.08,clear sky,39.93,8.5314,Hotel Villa Canu
423,Palmer,US,78.31,broken clouds,42.1584,-72.3287,Wedgewood Motel
425,Dingle,PH,80.76,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
426,Qui Nhon,VN,84.54,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
427,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
429,Koudougou,BF,76.78,broken clouds,12.25,-2.3667,VAREK OCADES
431,Iralaya,HN,77.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
434,Belonia,IN,76.59,light rain,23.2528,91.4514,Hotel Shome's
437,Jansath,IN,76.86,overcast clouds,29.3333,77.85,P. W. D. Guest House
438,Itarema,BR,78.53,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
439,Diffa,NE,77.09,overcast clouds,13.3154,12.6113,ProDAF/Diffa
443,Peace River,CA,79.11,few clouds,56.2501,-117.286,BCMInns - Peace River
444,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
445,Bandarbeyla,SO,77.56,overcast clouds,9.4942,50.8122,JABIR HOTEL
446,Srikakulam,IN,79.93,overcast clouds,18.3,83.9,Sriram residency
447,Khuzdar,PK,84.29,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
450,Miranda,CO,82.53,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
451,Alugan,PH,81.25,overcast clouds,12.2188,125.4808,JM Lodge
452,Ranong,TH,80.24,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
454,Xixiang,CN,76.1,light rain,35.1628,112.865,Sanmao Hotel Hotel
458,Ratnagiri,IN,79.5,overcast clouds,16.9833,73.3,Hotel Landmark
459,Nisia Floresta,BR,79.18,clear sky,-6.0911,-35.2086,Rancho Crepusculo
463,Cabatuan,PH,80.67,broken clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
464,Rawah,IQ,89.28,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
467,Korla,CN,85.03,scattered clouds,41.7597,86.1469,Gulisitan Hotel
469,Coahuayana,MX,81.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
470,San Quintin,MX,75.22,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
479,Auki,SB,82.92,light rain,-8.7676,160.7034,Auki Motel
483,Weligama,LK,79.05,overcast clouds,5.9667,80.4167,Weligama Bay Resort
486,Linqiong,CN,78.62,scattered clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
488,Grand-Lahou,CI,75.22,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
493,Kaset Sombun,TH,75.99,overcast clouds,16.2805,101.9542,BoonTewa Hotel
495,Puerto Ayacucho,VE,77.5,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
498,Katsuura,JP,84.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
499,Quibor,VE,81.57,scattered clouds,9.9287,-69.6201,Hostería Valle de Quibor
500,Paita,PE,75.76,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
501,Progreso,MX,79.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
503,Meulaboh,ID,75.25,light rain,4.1363,96.1285,Kost Pria
507,Lebrija,ES,80.71,clear sky,36.9208,-6.0753,Hostal Mellizo
512,Gushikawa,JP,80.19,clear sky,26.3544,127.8686,Kirari Guest House
514,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
522,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
523,Arvi,IN,76.14,light rain,20.9833,78.2333,Geet shirbhate
525,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
529,Awbari,LY,85.57,clear sky,26.5921,12.7805,فندق أوباري
531,Sao Gabriel Da Cachoeira,BR,75.38,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
534,Sao Felix Do Xingu,BR,79.21,clear sky,-6.6447,-51.995,Rio Xingu Camping
536,Nawa,IN,78.3,overcast clouds,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
539,Kirakira,SB,82.74,scattered clouds,-10.4544,161.9205,SanBiz Lodge
541,Aloleng,PH,81.95,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
544,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
549,Alenquer,BR,82.74,few clouds,-1.9417,-54.7383,Josilene Castro
552,Dubrovnik,HR,80.24,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
560,Oriximina,BR,82.67,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
564,Yinchuan,CN,76.24,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
567,Palu,ID,76.91,few clouds,-0.8917,119.8707,Hotel Santika Palu
571,Lianyuan,CN,78.51,clear sky,27.6883,111.6642,Lianyuan Hotel
575,Banda Aceh,ID,79.63,scattered clouds,5.5577,95.3222,Sulthan Hotel International
579,Ariyalur,IN,82.56,overcast clouds,11.1333,79.0833,BERGAMONT HOTEL
581,Abu Zabad,SD,75.09,moderate rain,12.35,29.25,حامد محمد نور
584,Bac Lieu,VN,80.06,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
588,Ruidoso,US,83.7,few clouds,33.3317,-105.673,Inn of the Mountain Gods
591,Ishigaki,JP,80.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
597,Sinnamary,GF,78.67,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
600,Nanakuli,US,85.95,clear sky,21.3906,-158.1547,Camp Pālehua
607,Almirante,PA,87.89,overcast clouds,9.3,-82.4,Hotel 888
608,Preeceville,CA,83.1,clear sky,51.95,-102.6677,Golden West Hotel
609,Nanlong,CN,76.91,clear sky,31.3533,106.0631,Demei Hotel
612,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
613,Nagyoroszi,HU,75.87,scattered clouds,48.005,19.0905,Várvölgy szálláshely
614,Serendah,MY,76.78,overcast clouds,3.3646,101.6041,Casavilla Hotel - Rawang
617,Marquette,US,76.6,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
618,Tautira,PF,82.0,light rain,-17.7333,-149.15,Pension Oaoa
620,Matay,EG,83.88,scattered clouds,28.419,30.7792,Nag Aespen
623,Semnan,IR,76.35,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
625,Kamalpur,IN,75.07,overcast clouds,24.2,91.8333,Sagar Guest House. সাগর গেস্ট হাউস
626,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
627,Seka,TH,82.22,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
629,Gizo,SB,82.17,broken clouds,-8.103,156.8419,Imagination Island
633,Wanning,CN,81.18,overcast clouds,18.8003,110.3967,Paradise Hotel
634,Dashitou,CN,76.06,moderate rain,43.3067,128.5114,大林宾馆
639,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
641,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
642,Brandon,US,87.03,scattered clouds,27.9378,-82.2859,Brandon Motor Lodge
643,Amuntai,ID,75.31,broken clouds,-2.4177,115.2494,Hotel Balqis
644,Zacatepec,MX,88.57,scattered clouds,18.65,-99.2,Villas El Paraíso
654,Huinan,CN,76.08,overcast clouds,42.6225,126.2614,Sunshine Classic Fashion Hotels
656,Belle Glade,US,86.02,broken clouds,26.6845,-80.6676,Mid-City Trailer Park
657,Pa Sang,TH,77.85,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
659,Sioux Lookout,CA,84.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
661,Tucurui,BR,82.78,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
662,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
665,Uthal,PK,82.26,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
