City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,51.12,66,56,9.22,broken clouds
1,Mackay,AU,-21.15,149.2,68.04,94,2,4.61,clear sky
2,Mataura,NZ,-46.1927,168.8643,46.47,82,39,4.21,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,44.26,76,75,4.61,light intensity drizzle
4,Butaritari,KI,3.0707,172.7902,82.81,70,16,10.22,few clouds
5,Lensk,RU,60.7253,114.9278,71.37,49,8,7.29,clear sky
6,Mahebourg,MU,-20.4081,57.7,71.26,83,75,19.57,broken clouds
7,Richards Bay,ZA,-28.783,32.0377,58.35,63,0,7.47,clear sky
8,Yellowknife,CA,62.456,-114.3525,69.3,68,40,1.99,scattered clouds
9,Moerai,PF,-22.4333,-151.3333,72.0,71,14,8.37,few clouds
10,Shieli,KZ,44.1667,66.75,76.05,21,16,5.5,few clouds
11,Barrow,US,71.2906,-156.7887,42.82,87,90,19.57,overcast clouds
12,San Patricio,US,28.017,-97.5169,92.07,47,41,14.74,scattered clouds
13,Albany,US,42.6001,-73.9662,77.65,59,30,3.38,scattered clouds
14,Avarua,CK,-21.2078,-159.775,75.25,73,75,5.75,light rain
15,Hermanus,ZA,-34.4187,19.2345,51.91,72,22,18.01,few clouds
16,Ilulissat,GL,69.2167,-51.1,51.82,58,100,5.75,overcast clouds
17,Cabedelo,BR,-6.9811,-34.8339,75.87,85,1,12.12,clear sky
18,Lompoc,US,34.6391,-120.4579,94.01,66,40,16.11,scattered clouds
19,Kapaa,US,22.0752,-159.319,84.52,71,40,1.99,scattered clouds
20,Ust-Tarka,RU,55.5672,75.705,55.11,97,100,8.25,overcast clouds
21,Ribeira Grande,PT,38.5167,-28.7,72.77,79,77,7.54,broken clouds
22,Hualmay,PE,-11.0964,-77.6139,65.39,79,47,12.33,scattered clouds
23,Lavrentiya,RU,65.5833,-171.0,44.4,99,100,8.43,overcast clouds
24,Vaini,TO,-21.2,-175.2,73.56,83,20,9.22,few clouds
25,Aksarka,RU,66.5606,67.7975,42.17,94,76,4.9,broken clouds
26,Maniitsoq,GL,65.4167,-52.9,47.39,82,91,13.8,overcast clouds
27,Atuona,PF,-9.8,-139.0333,77.5,70,35,20.76,scattered clouds
28,Kargasok,RU,59.0556,80.8572,56.93,81,55,8.68,broken clouds
29,Ponta Do Sol,PT,32.6667,-17.1,72.23,71,12,4.94,few clouds
30,Teya,RU,60.3778,92.6267,53.56,96,100,2.48,light rain
31,Kodiak,US,57.79,-152.4072,56.71,72,90,6.91,overcast clouds
32,Te Anau,NZ,-45.4167,167.7167,47.08,82,95,2.26,overcast clouds
33,Omboue,GA,-1.5746,9.2618,73.42,84,49,5.99,scattered clouds
34,Fortuna,US,40.5982,-124.1573,74.93,69,20,1.99,few clouds
35,Shingu,JP,33.7333,135.9833,82.9,70,3,3.44,clear sky
36,Busselton,AU,-33.65,115.3333,58.08,74,44,25.77,scattered clouds
37,Taitung,TW,22.7583,121.1444,77.27,88,75,3.44,broken clouds
38,Campo Grande,BR,-20.4428,-54.6464,51.35,35,0,4.61,clear sky
39,Nikolskoye,RU,59.7035,30.7861,66.4,97,96,4.29,overcast clouds
40,Saldanha,ZA,-33.0117,17.9442,50.05,76,36,11.61,scattered clouds
41,New Norfolk,AU,-42.7826,147.0587,43.57,85,92,5.68,overcast clouds
42,Caxito,AO,-8.5785,13.6643,67.37,88,0,2.98,clear sky
43,Flinders,AU,-34.5833,150.8552,53.38,64,0,13.69,clear sky
44,Rikitea,PF,-23.1203,-134.9692,73.9,79,29,13.82,light rain
45,Walvis Bay,NA,-22.9575,14.5053,56.08,87,0,2.3,clear sky
46,Tiksi,RU,71.6872,128.8694,41.79,80,61,9.08,broken clouds
47,Kaitangata,NZ,-46.2817,169.8464,47.43,83,14,4.83,few clouds
48,Banting,MY,2.8167,101.5,77.14,91,100,3.49,overcast clouds
49,Taltal,CL,-25.4,-70.4833,56.64,75,18,2.75,few clouds
50,Kavieng,PG,-2.5744,150.7967,83.23,73,86,6.51,light rain
51,Norman Wells,CA,65.282,-126.8329,59.04,88,90,8.05,light rain
52,Ancud,CL,-41.8697,-73.8203,45.93,88,6,4.0,clear sky
53,Port Alfred,ZA,-33.5906,26.891,59.83,78,96,8.75,overcast clouds
54,Hithadhoo,MV,-0.6,73.0833,79.59,79,99,7.14,overcast clouds
55,Taoudenni,ML,22.6783,-3.9836,101.93,18,1,9.71,clear sky
56,Cape Town,ZA,-33.9258,18.4232,56.88,75,75,4.0,broken clouds
57,Hobart,AU,-42.8794,147.3294,43.23,84,75,5.01,broken clouds
58,Batagay,RU,67.6333,134.6333,51.13,56,30,4.29,scattered clouds
59,Bluff,NZ,-46.6,168.3333,46.8,75,59,8.93,broken clouds
60,Jamestown,US,42.097,-79.2353,78.39,50,1,6.91,clear sky
61,Castro,BR,-24.7911,-50.0119,40.78,57,6,11.12,clear sky
62,Leningradskiy,RU,69.3833,178.4167,33.37,100,100,15.97,snow
63,Nome,US,64.5011,-165.4064,51.87,87,90,23.02,moderate rain
64,Aquin,HT,18.2833,-73.4,81.16,78,52,4.38,broken clouds
65,Kutum,SD,14.2,24.6667,75.67,64,78,2.98,broken clouds
66,Georgetown,MY,5.4112,100.3354,77.9,92,40,3.44,heavy intensity rain
67,Jerome,US,42.7241,-114.5186,92.68,31,1,12.66,clear sky
68,Ahipara,NZ,-35.1667,173.1667,59.43,81,54,6.73,broken clouds
69,Yulara,AU,-25.2406,130.9889,46.24,76,0,5.75,clear sky
70,Yatou,CN,37.15,122.3833,80.35,80,97,12.62,overcast clouds
71,Eureka,US,40.8021,-124.1637,75.2,67,53,5.99,broken clouds
72,Hilo,US,19.7297,-155.09,80.33,76,90,6.91,overcast clouds
73,Tuatapere,NZ,-46.1333,167.6833,46.81,75,91,7.09,overcast clouds
74,Lieto,FI,60.5103,22.4618,66.96,88,90,17.27,overcast clouds
75,Huambo,AO,-12.7761,15.7392,54.55,28,13,1.07,few clouds
76,Longyearbyen,SJ,78.2186,15.6401,44.44,87,90,9.22,overcast clouds
77,Teluk Nibung,ID,3.001,99.8164,74.57,94,100,3.53,overcast clouds
78,Ola,RU,59.5833,151.2833,51.06,71,100,17.25,overcast clouds
79,San Policarpo,PH,12.1791,125.5072,81.32,79,99,4.88,overcast clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,55,8.9,broken clouds
81,Onega,RU,63.9061,38.1404,53.28,85,30,7.36,scattered clouds
82,Springbok,ZA,-29.6643,17.8865,39.88,94,6,2.93,clear sky
83,Am Timan,TD,11.0297,20.2827,72.48,93,97,3.33,overcast clouds
84,Hatillo,PR,18.4863,-66.8254,84.07,75,9,19.42,clear sky
85,Zachepylivka,UA,49.1939,35.2394,69.71,78,100,4.81,overcast clouds
86,Sitka,US,57.0531,-135.33,66.09,63,20,6.91,few clouds
87,Torbay,CA,47.6666,-52.7314,70.75,93,75,9.22,broken clouds
88,Bainbridge,US,47.6262,-122.5212,92.25,39,1,1.99,clear sky
89,Cockburn Town,TC,21.4612,-71.1419,81.84,79,53,19.42,broken clouds
90,Zhicheng,CN,30.2956,111.5047,77.54,90,86,2.8,light rain
91,Fremont,US,37.5483,-121.9886,100.04,50,40,4.0,scattered clouds
92,Saint George,US,37.1041,-113.5841,100.99,19,1,1.99,clear sky
93,Cabo San Lucas,MX,22.8909,-109.9124,99.81,46,1,11.5,clear sky
94,Innisfail,AU,-17.5333,146.0333,73.87,71,42,3.09,scattered clouds
95,Shache,CN,38.4167,77.2406,81.84,22,8,9.66,clear sky
96,Iqaluit,CA,63.7506,-68.5145,49.73,66,75,11.01,broken clouds
97,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,88,75,7.45,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,75,3.44,broken clouds
99,Acapulco,MX,16.8634,-99.8901,87.62,74,40,2.3,scattered clouds
100,Gornopravdinsk,RU,60.05,69.9,42.4,95,76,5.32,broken clouds
101,Fort Saint James,CA,54.4333,-124.25,75.2,36,94,5.1,overcast clouds
102,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,10.36,clear sky
103,Karla,EE,59.3723,24.9275,66.56,88,20,6.91,few clouds
104,Provideniya,RU,64.3833,-173.3,48.31,87,75,15.66,mist
105,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,0,6.91,clear sky
106,Owando,CG,-0.4819,15.8999,79.61,58,99,3.15,overcast clouds
107,Saskylakh,RU,71.9167,114.0833,65.35,43,98,13.2,overcast clouds
108,Narsaq,GL,60.9167,-46.05,53.82,89,73,5.53,broken clouds
109,Mokrousovo,RU,55.8103,66.7653,45.21,90,7,7.18,clear sky
110,Palana,RU,59.1167,159.9667,50.81,65,91,2.64,overcast clouds
111,La Rochelle,FR,46.1667,-1.15,64.47,77,0,8.05,clear sky
112,La Joya,MX,18.6667,-99.4667,87.31,56,55,3.4,broken clouds
113,Thompson,CA,55.7435,-97.8558,62.76,55,75,12.66,broken clouds
114,Barra Patuca,HN,15.8,-84.2833,79.9,87,100,5.61,overcast clouds
115,Chuy,UY,-33.6971,-53.4616,41.63,73,17,14.72,few clouds
116,Loyga,RU,61.0784,44.6075,55.02,70,33,5.3,scattered clouds
117,Naze,JP,28.3667,129.4833,79.72,87,39,8.25,scattered clouds
118,Roma,US,43.2128,-75.4557,75.87,60,20,9.22,few clouds
119,Namibe,AO,-15.1961,12.1522,63.37,88,12,0.04,few clouds
120,Lebu,CL,-37.6167,-73.65,50.23,82,0,11.97,clear sky
121,Victoria,HK,22.2855,114.1577,86.38,87,100,1.01,overcast clouds
122,Muhos,FI,64.808,25.9931,64.18,79,0,3.89,clear sky
123,Tessalit,ML,20.1986,1.0114,90.57,35,61,7.07,broken clouds
124,Sao Filipe,CV,14.8961,-24.4956,75.04,78,21,7.11,few clouds
125,Pevek,RU,69.7008,170.3133,32.9,96,100,25.99,light snow
126,Abu Samrah,SY,35.3029,37.1841,77.72,37,0,8.61,clear sky
127,Kruisfontein,ZA,-34.0033,24.7314,46.89,87,24,5.91,few clouds
128,Port Augusta,AU,-32.5,137.7667,42.71,68,0,5.68,clear sky
129,Souillac,MU,-20.5167,57.5167,71.37,83,75,19.57,broken clouds
130,Khatanga,RU,71.9667,102.5,66.87,69,20,12.21,few clouds
131,Amahai,ID,-3.3333,128.9167,79.48,87,83,3.04,broken clouds
132,Bengkulu,ID,-3.8004,102.2655,74.59,85,61,4.05,broken clouds
133,Caravelas,BR,-17.7125,-39.2481,74.23,88,6,10.94,clear sky
134,Berwick,US,41.0545,-76.2333,83.03,53,1,3.62,clear sky
135,Avera,US,33.194,-82.5271,89.74,55,94,3.42,overcast clouds
136,Ambulu,ID,-8.345,113.6058,71.28,91,23,2.75,few clouds
137,Birjand,IR,32.8663,59.2211,73.87,15,17,11.5,few clouds
138,Dalbandin,PK,28.8947,64.4101,89.15,12,90,6.93,overcast clouds
139,Deputatskiy,RU,69.3,139.9,44.69,64,69,3.62,broken clouds
140,Bulgan,MN,48.8125,103.5347,58.71,92,56,0.87,broken clouds
141,Saint-Philippe,RE,-21.3585,55.7679,67.59,87,99,17.67,light rain
142,Teguise,ES,29.0605,-13.564,68.22,78,20,13.8,few clouds
143,Bubaque,GW,11.2833,-15.8333,79.18,83,100,19.71,light rain
144,Paso De Patria,AR,-27.2454,-58.5454,50.04,40,0,7.72,light rain
145,Ostrovnoy,RU,68.0531,39.5131,45.45,80,100,4.41,overcast clouds
146,Port Blair,IN,11.6667,92.75,81.79,84,100,17.6,overcast clouds
147,Atasu,KZ,48.6814,71.6433,65.73,35,100,7.67,overcast clouds
148,Idil,TR,37.3411,41.8895,85.06,17,0,5.32,clear sky
149,Lubin,PL,51.4009,16.2015,64.81,82,48,8.99,scattered clouds
150,Krasnorechenskiy,RU,44.6265,135.3532,78.82,58,0,1.54,clear sky
151,Prince Rupert,CA,54.3161,-130.3201,60.89,77,90,4.61,overcast clouds
152,Okhotsk,RU,59.3833,143.3,53.2,83,100,8.84,moderate rain
153,Maracaibo,VE,10.6317,-71.6406,82.81,71,16,10.87,few clouds
154,Chaohu,CN,31.6,117.8667,76.03,93,89,11.18,overcast clouds
155,East London,ZA,-33.0153,27.9116,61.59,86,99,10.98,overcast clouds
156,Katherine,AU,-14.4667,132.2667,62.92,77,69,4.61,broken clouds
157,Morwell,AU,-38.2333,146.4,51.91,70,31,9.33,scattered clouds
158,Burnie,AU,-41.0667,145.9167,49.12,78,40,13.69,scattered clouds
159,Oleksandrivka,UA,48.9634,32.2349,70.21,84,39,4.7,scattered clouds
160,Westport,US,41.1415,-73.3579,81.3,56,1,1.99,clear sky
161,Qaanaaq,GL,77.484,-69.3632,42.22,100,100,4.54,light rain
162,Alyangula,AU,-13.8483,136.4192,67.87,100,40,0.0,scattered clouds
163,Meadow Lake,US,34.8014,-106.5436,92.59,27,15,5.37,few clouds
164,Kahului,US,20.8947,-156.47,84.22,81,40,23.02,scattered clouds
165,Magadan,RU,59.5667,150.8,50.49,72,100,11.56,overcast clouds
166,Lakes Entrance,AU,-37.8811,147.981,51.19,56,17,14.41,few clouds
167,Kushima,JP,31.4583,131.2333,77.04,70,1,2.24,clear sky
168,College,US,64.8569,-147.8028,61.12,96,100,1.01,light rain
169,Neiafu,TO,-18.65,-173.9833,77.68,78,40,3.44,scattered clouds
170,Griffith,US,41.5284,-87.4237,90.09,68,40,1.99,scattered clouds
171,Talaya,RU,61.3833,152.75,42.01,81,100,8.84,light rain
172,Solnechnyy,RU,50.7214,136.6319,76.57,87,100,1.52,overcast clouds
173,Agirish,RU,61.9247,63.0231,42.31,92,100,7.78,overcast clouds
174,Gat,IL,31.61,34.7642,79.92,80,0,5.17,clear sky
175,Vestmannaeyjar,IS,63.4427,-20.2734,55.83,79,47,6.06,scattered clouds
176,Caconda,AO,-13.7333,15.0667,54.48,29,2,0.89,clear sky
177,Mar Del Plata,AR,-38.0023,-57.5575,45.0,68,75,1.01,broken clouds
178,Chokurdakh,RU,70.6333,147.9167,41.76,68,100,10.65,overcast clouds
179,Severo-Kurilsk,RU,50.6789,156.125,59.36,90,77,4.68,broken clouds
180,Manaure,CO,11.7751,-72.4445,86.04,59,6,14.83,clear sky
181,Kysyl-Syr,RU,63.8986,122.7617,61.2,42,0,4.72,clear sky
182,Bermeo,ES,43.4209,-2.7215,63.95,79,6,1.41,clear sky
183,Vardo,NO,70.3705,31.1107,47.05,90,100,4.09,overcast clouds
184,Jiwani,PK,25.05,61.7417,82.85,86,89,8.7,overcast clouds
185,Cidreira,BR,-30.1811,-50.2056,46.06,74,81,23.47,moderate rain
186,Ilhabela,BR,-23.7781,-45.3581,57.31,86,100,7.65,overcast clouds
187,Limbang,MY,4.75,115.0,80.91,90,93,2.04,overcast clouds
188,Sungaipenuh,ID,-2.0833,101.3833,62.78,98,81,1.79,broken clouds
189,Ballina,AU,-28.8667,153.5667,67.78,94,90,0.0,overcast clouds
190,Berlevag,NO,70.8578,29.0864,46.83,93,100,8.01,overcast clouds
191,Aksehir,TR,38.3575,31.4164,64.29,50,0,5.21,clear sky
192,Mezhdurechensk,RU,53.6942,88.0603,54.46,78,85,2.37,overcast clouds
193,Sorland,NO,67.667,12.6934,52.25,87,77,22.86,broken clouds
194,Saint-Pierre,RE,-21.3393,55.4781,67.68,77,98,5.75,light rain
195,Alice Springs,AU,-23.7,133.8833,58.55,67,0,3.44,clear sky
196,Aykhal,RU,66.0,111.5,70.83,62,9,6.13,clear sky
197,Madang,PG,-5.2246,145.7966,80.19,83,88,1.74,overcast clouds
198,Vila Velha,BR,-20.3297,-40.2925,73.35,78,0,11.5,clear sky
199,Albert,FR,50.0009,2.651,61.79,85,0,9.22,clear sky
200,Arlit,NE,18.7369,7.3853,89.28,38,87,10.96,overcast clouds
201,Taua,BR,-5.9667,-40.3,84.18,36,76,10.27,broken clouds
202,Guder,ET,8.9667,37.7667,57.85,97,97,3.51,overcast clouds
203,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,89,61,8.21,broken clouds
204,Juneau,US,58.3019,-134.4197,68.0,72,20,12.66,few clouds
205,Fallon,US,39.4735,-118.7774,93.27,12,75,9.22,broken clouds
206,West Wendover,US,40.7391,-114.0733,92.41,24,1,3.44,clear sky
207,Vao,NC,-22.6667,167.4833,69.8,67,99,16.24,overcast clouds
208,Carnarvon,AU,-24.8667,113.6333,68.07,59,90,20.71,overcast clouds
209,Rawson,AR,-43.3002,-65.1023,49.95,49,4,6.76,clear sky
210,Torbat-E Jam,IR,35.244,60.6225,75.45,18,65,17.6,broken clouds
211,Gisborne,NZ,-38.6533,178.0042,50.95,59,2,1.74,clear sky
212,Jalu,LY,29.0331,21.5482,82.2,37,0,11.56,clear sky
213,Antofagasta,CL,-23.65,-70.4,56.48,72,24,5.93,few clouds
214,Guerrero Negro,MX,27.9769,-114.0611,77.92,62,2,20.0,clear sky
215,Amazar,RU,53.858,120.875,62.28,88,51,2.44,broken clouds
216,Talnakh,RU,69.4865,88.3972,55.69,84,100,4.52,overcast clouds
217,Baijiantan,CN,45.6333,85.1833,76.42,18,10,7.47,clear sky
218,Port Hardy,CA,50.6996,-127.4199,69.98,60,40,5.75,scattered clouds
219,China,MX,25.7,-99.2333,97.41,31,90,8.39,overcast clouds
220,Luderitz,NA,-26.6481,15.1594,54.54,79,0,14.32,clear sky
221,Buraydah,SA,26.326,43.975,93.65,17,61,8.43,broken clouds
222,Gibsons,CA,49.3997,-123.5027,86.32,53,37,3.0,scattered clouds
223,Gorontalo,ID,0.5412,123.0595,78.17,86,57,2.24,broken clouds
224,Fairbanks,US,64.8378,-147.7164,62.56,93,90,4.61,overcast clouds
225,Borogontsy,RU,62.6683,131.1683,61.81,40,0,7.56,clear sky
226,Lasa,IT,46.6166,10.7002,60.62,90,11,1.7,few clouds
227,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,9.22,clear sky
228,Marawi,PH,7.9986,124.2928,67.64,73,77,3.49,broken clouds
229,Yining,CN,29.0361,114.5636,76.6,95,9,0.85,clear sky
230,Nanortalik,GL,60.1432,-45.2371,45.84,89,67,9.24,broken clouds
231,Camacupa,AO,-12.0167,17.4833,56.44,27,53,2.68,broken clouds
232,Mahanoro,MG,-19.9,48.8,66.67,87,71,7.07,moderate rain
233,Lagoa,PT,39.05,-27.9833,71.28,84,98,10.16,overcast clouds
234,Ulaanbaatar,MN,47.9077,106.8832,57.33,82,40,0.0,scattered clouds
235,Polunochnoye,RU,60.8697,60.4153,43.63,83,100,6.26,overcast clouds
236,Cherskiy,RU,68.75,161.3,35.96,90,100,17.09,light rain
237,Port Lincoln,AU,-34.7333,135.8667,49.46,79,3,14.29,clear sky
238,Santa Marta,CO,11.2408,-74.199,88.34,84,8,16.26,clear sky
239,Ongandjera,NA,-17.8833,15.0667,57.36,30,29,9.91,scattered clouds
240,Bisira,PA,8.5196,-81.7115,65.77,89,96,3.38,overcast clouds
241,Bukene,TZ,-4.2333,32.8833,63.84,44,26,5.06,scattered clouds
242,Porto Uniao,BR,-26.2381,-51.0783,38.52,65,4,7.38,clear sky
243,Faanui,PF,-16.4833,-151.75,77.67,70,41,1.5,scattered clouds
244,Ngaoundere,CM,7.3167,13.5833,61.21,96,99,0.56,overcast clouds
245,Hasaki,JP,35.7333,140.8333,81.28,83,96,14.7,overcast clouds
246,Broome,US,42.2506,-75.833,76.01,59,1,1.01,clear sky
247,Sri Aman,MY,1.2376,111.4621,73.45,94,81,0.0,broken clouds
248,Ternate,ID,0.8,127.4,81.9,77,81,3.15,broken clouds
249,Kavaratti,IN,10.5669,72.642,82.11,76,100,17.52,overcast clouds
250,Tocache,PE,-8.1842,-76.5125,74.75,82,80,1.25,broken clouds
251,Conway,US,35.0887,-92.4421,97.18,49,1,1.01,clear sky
252,Piacabucu,BR,-10.4056,-36.4344,72.97,84,0,5.19,clear sky
253,Goderich,CA,43.7501,-81.7165,74.55,68,59,9.22,broken clouds
254,Kodigenahalli,IN,13.72,77.3903,70.79,78,100,10.18,overcast clouds
255,Bayir,TR,37.2687,28.2167,75.72,27,0,5.32,clear sky
256,Daru,PG,-9.0763,143.2092,78.33,90,56,13.58,broken clouds
257,Itoman,JP,26.1247,127.6694,80.98,94,75,6.91,broken clouds
258,Yumen,CN,40.2833,97.2,75.09,23,0,8.1,clear sky
259,La Ronge,CA,55.1001,-105.2842,73.62,33,20,8.05,few clouds
260,Iguape,BR,-24.7081,-47.5553,54.01,79,73,3.58,broken clouds
261,Makakilo City,US,21.3469,-158.0858,84.52,58,1,9.22,clear sky
262,Vila,PT,42.0304,-8.1588,59.74,85,0,5.79,clear sky
263,Dawei,MM,14.0833,98.2,77.86,91,100,6.13,moderate rain
264,Tasiilaq,GL,65.6145,-37.6368,50.16,71,79,4.76,broken clouds
265,Samarai,PG,-10.6167,150.6667,79.88,85,96,8.1,overcast clouds
266,Pisco,PE,-13.7,-76.2167,66.25,72,0,14.97,clear sky
267,Robertsport,LR,6.7533,-11.3686,77.41,72,100,13.09,overcast clouds
268,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,75,19.57,broken clouds
269,Kaduy,RU,59.2,37.15,60.37,98,100,4.18,overcast clouds
270,Flin Flon,CA,54.7682,-101.865,71.44,40,40,12.66,scattered clouds
271,Chateauroux,FR,46.8167,1.7,60.8,77,0,8.05,clear sky
272,Bontang,ID,0.1333,117.5,77.32,88,95,7.31,overcast clouds
273,Noumea,NC,-22.2763,166.4572,72.0,99,20,2.93,few clouds
274,Geraldton,AU,-28.7667,114.6,64.13,88,90,19.57,overcast clouds
275,Laiya,PH,13.675,121.3903,80.24,83,98,4.27,overcast clouds
276,Dikson,RU,73.5069,80.5464,38.19,95,97,11.7,overcast clouds
277,Klisura,BG,42.7,24.45,73.15,57,56,2.26,broken clouds
278,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.58,81,73,18.99,broken clouds
279,Soledade,BR,-28.8183,-52.5103,34.2,84,91,11.3,overcast clouds
280,Verkhnetulomskiy,RU,68.6073,31.7962,44.73,86,63,2.57,broken clouds
281,Vaitape,PF,-16.5167,-151.75,77.63,71,39,1.23,scattered clouds
282,Upernavik,GL,72.7868,-56.1549,47.64,78,96,8.32,overcast clouds
283,Kimamba,TZ,-6.7833,37.1333,65.25,73,1,2.82,clear sky
284,Keti Bandar,PK,24.1447,67.4497,82.47,85,100,22.57,overcast clouds
285,Khuzhir,RU,53.1939,107.3397,59.25,70,0,6.6,clear sky
286,Riviere-Au-Renard,CA,48.9957,-64.3971,66.49,70,23,15.95,few clouds
287,Clyde River,CA,70.4692,-68.5914,50.23,76,75,8.05,broken clouds
288,Road Town,VG,18.4167,-64.6167,84.24,70,40,13.8,scattered clouds
289,Kununurra,AU,-15.7667,128.7333,66.18,88,65,4.61,broken clouds
290,Tucuman,AR,-26.8241,-65.2226,53.6,37,23,4.61,few clouds
291,Bacungan,PH,9.9106,118.7022,81.52,79,100,4.63,overcast clouds
292,Khani,GE,41.9563,42.9566,62.17,94,62,2.62,broken clouds
293,Pankrushikha,RU,53.8319,80.3406,52.81,66,4,7.38,clear sky
294,Nedjo,ET,9.5046,35.5019,56.48,98,100,1.63,overcast clouds
295,Cairns,AU,-16.9167,145.7667,67.08,82,40,0.0,scattered clouds
296,Trapani,IT,37.8333,12.6667,84.88,53,0,3.44,clear sky
297,Gunjur,GM,13.2019,-16.7339,80.67,83,40,12.66,scattered clouds
298,Salalah,OM,17.0151,54.0924,78.89,94,90,9.22,overcast clouds
299,Jinji,CN,23.2281,110.8261,79.59,90,27,1.66,scattered clouds
300,Arraial Do Cabo,BR,-22.9661,-42.0278,64.2,87,100,18.88,overcast clouds
301,Bethel,US,41.3712,-73.414,80.04,64,0,3.6,clear sky
302,Esso,RU,55.9333,158.7,67.12,64,50,3.13,scattered clouds
303,Ixtapa,MX,20.7,-105.2,88.83,66,20,10.36,few clouds
304,Nanga Eboko,CM,4.6833,12.3667,67.57,97,89,2.68,light rain
305,Simbahan,PH,6.3032,120.5836,83.79,79,50,13.89,scattered clouds
306,Airai,TL,-8.9266,125.4092,60.96,59,14,3.18,few clouds
307,Paragominas,BR,-2.9667,-47.4833,77.52,74,75,5.06,broken clouds
308,Acarau,BR,-2.8856,-40.12,78.66,85,5,14.58,clear sky
309,Zima,RU,53.9202,102.0442,59.4,86,54,10.78,broken clouds
310,Flexeiras,BR,-9.1975,-35.7808,71.37,92,6,2.13,clear sky
311,Rudbar,AF,30.15,62.6,84.65,13,68,14.85,broken clouds
312,Novo Cruzeiro,BR,-17.4681,-41.8753,65.66,47,0,2.55,clear sky
313,Kandrian,PG,-6.2167,149.55,80.26,83,85,3.2,light rain
314,Mogadishu,SO,2.0371,45.3438,75.97,85,85,17.67,light rain
315,Hambantota,LK,6.1241,81.1185,80.38,78,86,17.85,overcast clouds
316,Canico,PT,32.6333,-16.85,72.68,68,40,12.66,scattered clouds
317,Panevezys,LT,55.7333,24.35,67.12,77,54,6.93,broken clouds
318,Xinmin,CN,41.9908,122.8253,79.05,83,100,3.94,overcast clouds
319,Kudahuvadhoo,MV,2.6708,72.8944,81.82,74,96,8.19,overcast clouds
320,Cayenne,GF,4.9333,-52.3333,80.64,83,0,3.0,clear sky
321,Qasigiannguit,GL,68.8193,-51.1922,52.05,79,99,5.17,overcast clouds
322,Mazagao,BR,-0.115,-51.2894,78.85,89,42,6.51,scattered clouds
323,Hami,CN,42.8,93.45,86.61,20,17,8.95,few clouds
324,Sur,OM,22.5667,59.5289,94.93,43,96,18.95,overcast clouds
325,Log,RU,49.4844,43.8613,72.66,43,93,6.35,overcast clouds
326,Mayo,US,38.8876,-76.5119,90.99,60,1,3.0,clear sky
327,Pangnirtung,CA,66.1451,-65.7125,51.8,71,20,12.66,few clouds
328,Cowra,AU,-33.8333,148.6833,45.27,85,1,5.86,clear sky
329,Inirida,CO,3.8653,-67.9239,74.8,91,80,0.83,broken clouds
330,Xuddur,SO,4.1213,43.8894,70.48,77,99,16.6,overcast clouds
331,Maragogi,BR,-9.0122,-35.2225,73.83,84,0,6.51,clear sky
332,Along,IN,28.1667,94.7667,74.52,99,100,0.18,overcast clouds
